+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+-------------------+------------------+--------------------------+--------------------+----------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Elapsed - wo DAMO | Elapsed - w DAMO | Elapsed - w DAMO Default |     Overhead %     | Overhead-w-default % |
|  100mb_s10000_a2000000_u4000000_n2048_m2048  |  100mb   |      10000      |      2000000       |     4000000     |     2048    |     2048    |    5.180392347    |   10.083340501   |       9.703003616        | 94.64434015001453  |  87.30248533432173   |
|  100mb_s10000_a2000000_u8000000_n1024_m1024  |  100mb   |      10000      |      2000000       |     8000000     |     1024    |     1024    |    5.179071178    |   9.825026883    |       9.691777311        | 89.70634975505641  |  87.13350285992148   |
|  100mb_s10000_a2000000_u8000000_n1024_m2048  |  100mb   |      10000      |      2000000       |     8000000     |     1024    |     2048    |    5.179056998    |   9.766465672    |       9.672643436        | 88.57613800681328  |  86.76456813924409   |
|  100mb_s10000_a2000000_u8000000_n2048_m2048  |  100mb   |      10000      |      2000000       |     8000000     |     2048    |     2048    |    5.176659065    |   10.052839347   |        9.67589603        |  94.195507580718   |  86.91391317268449   |
|  100mb_s10000_a4000000_u4000000_n1024_m1024  |  100mb   |      10000      |      4000000       |     4000000     |     1024    |     1024    |    5.181081491    |   9.630549225    |       9.699999156        | 85.87913048133139  |  87.21958287762436   |
|  100mb_s10000_a4000000_u4000000_n1024_m2048  |  100mb   |      10000      |      4000000       |     4000000     |     1024    |     2048    |    5.178020764    |   9.626504431    |       9.695608121        |  85.910888923581   |  87.24544691686754   |
|  100mb_s10000_a4000000_u4000000_n2048_m2048  |  100mb   |      10000      |      4000000       |     4000000     |     2048    |     2048    |    5.180717032    |   9.635567915    |       9.713256528        |  85.989079416681   |  87.48865201483947   |
|  100mb_s10000_a4000000_u8000000_n1024_m1024  |  100mb   |      10000      |      4000000       |     8000000     |     1024    |     1024    |    5.182609488    |   9.641229316    |       9.715987845        | 86.03040299145921  |  87.47289116605734   |
|  100mb_s10000_a4000000_u8000000_n1024_m2048  |  100mb   |      10000      |      4000000       |     8000000     |     1024    |     2048    |     5.18000755    |   9.605144971    |       9.734837754        | 85.42723882709397  |  87.93095685738915   |
|  100mb_s10000_a4000000_u8000000_n2048_m2048  |  100mb   |      10000      |      4000000       |     8000000     |     2048    |     2048    |     5.18123135    |   9.667045815    |       9.652717997        | 86.57815414862723  |  86.30162108086526   |
|  100mb_s1000_a1000000_u1000000_n1024_m1024   |  100mb   |       1000      |      1000000       |     1000000     |     1024    |     1024    |    5.177513188    |   10.185195815   |        9.66645333        | 96.71984300506239  |  86.70069933195117   |
|  100mb_s1000_a1000000_u1000000_n1024_m2048   |  100mb   |       1000      |      1000000       |     1000000     |     1024    |     2048    |    5.182261457    |   10.157047513   |       9.691664905        | 95.99643123525252  |  87.01613157531584   |
|  100mb_s1000_a1000000_u1000000_n2048_m2048   |  100mb   |       1000      |      1000000       |     1000000     |     2048    |     2048    |    5.179995607    |   10.797539484   |       9.686745013        | 108.44688496277325 |  87.00295807026924   |
|  100mb_s1000_a1000000_u2000000_n1024_m1024   |  100mb   |       1000      |      1000000       |     2000000     |     1024    |     1024    |    5.177635406    |   10.202631786   |       9.704542529        | 97.05195491704343  |  87.43194079973424   |
|  100mb_s1000_a1000000_u2000000_n1024_m2048   |  100mb   |       1000      |      1000000       |     2000000     |     1024    |     2048    |    5.179169106    |   10.173926752   |       9.686166973        | 96.43936206318574  |  87.02163947067693   |
|  100mb_s1000_a1000000_u2000000_n2048_m2048   |  100mb   |       1000      |      1000000       |     2000000     |     2048    |     2048    |    5.179856101    |   10.775277433   |        9.65184587        | 108.02271767587852 |  86.33424716444648   |
|  100mb_s1000_a1000000_u4000000_n1024_m1024   |  100mb   |       1000      |      1000000       |     4000000     |     1024    |     1024    |    5.177700789    |   10.180478614   |       9.683092988        | 96.62160926000932  |  87.01530626434968   |
|  100mb_s1000_a1000000_u4000000_n1024_m2048   |  100mb   |       1000      |      1000000       |     4000000     |     1024    |     2048    |    5.181693924    |   10.145734591   |       9.679977401        | 95.79957326325474  |  86.81106107339427   |
|  100mb_s1000_a1000000_u4000000_n2048_m2048   |  100mb   |       1000      |      1000000       |     4000000     |     2048    |     2048    |    5.176924572    |   10.77613908    |       9.683919409        | 108.1571583693532  |  87.05931049056822   |
|  100mb_s1000_a1000000_u8000000_n1024_m1024   |  100mb   |       1000      |      1000000       |     8000000     |     1024    |     1024    |    5.176688289    |   10.187892343   |       9.633384682        | 96.80327990094284  |  86.09165057262733   |
|  100mb_s1000_a1000000_u8000000_n1024_m2048   |  100mb   |       1000      |      1000000       |     8000000     |     1024    |     2048    |    5.179442418    |   10.145034053   |       9.736992433        | 95.87116207225687  |  87.99306271194845   |
|  100mb_s1000_a1000000_u8000000_n2048_m2048   |  100mb   |       1000      |      1000000       |     8000000     |     2048    |     2048    |    5.180005247    |   10.796284639   |       9.683382179        | 108.42227226029677 |   86.9376905478644   |
|  100mb_s1000_a2000000_u2000000_n1024_m1024   |  100mb   |       1000      |      2000000       |     2000000     |     1024    |     1024    |    5.177414573    |   9.807323886    |       9.702751273        |  89.4251222829399  |  87.40533786109079   |
|  100mb_s1000_a2000000_u2000000_n1024_m2048   |  100mb   |       1000      |      2000000       |     2000000     |     1024    |     2048    |    5.179821951    |   9.774596927    |       9.662701193        | 88.70526862632694  |  86.54504506925281   |
|  100mb_s1000_a2000000_u2000000_n2048_m2048   |  100mb   |       1000      |      2000000       |     2000000     |     2048    |     2048    |     5.17961034    |   10.04279503    |       9.636490113        | 93.89093717038183  |  86.04662282375475   |
|  100mb_s1000_a2000000_u4000000_n1024_m1024   |  100mb   |       1000      |      2000000       |     4000000     |     1024    |     1024    |    5.179650638    |   9.811626499    |       9.701479234        | 89.42641472801202  |  87.29987622767543   |
|  100mb_s1000_a2000000_u4000000_n1024_m2048   |  100mb   |       1000      |      2000000       |     4000000     |     1024    |     2048    |    5.177738915    |   9.806651132    |       9.691888387        | 89.40026318418569  |  87.18379868329072   |
|  100mb_s1000_a2000000_u4000000_n2048_m2048   |  100mb   |       1000      |      2000000       |     4000000     |     2048    |     2048    |    5.181376134    |   10.03252508    |       9.739538031        | 93.62665092323522  |   87.9720325086903   |
|  100mb_s1000_a2000000_u8000000_n1024_m1024   |  100mb   |       1000      |      2000000       |     8000000     |     1024    |     1024    |    5.180576814    |   9.814152416    |       9.680317254        | 89.44130679576486  |  86.85790408202989   |
|  100mb_s1000_a2000000_u8000000_n1024_m2048   |  100mb   |       1000      |      2000000       |     8000000     |     1024    |     2048    |     5.17934916    |    9.7731896     |       9.662279463        | 88.69532248333688  |  86.55393109276302   |
|  100mb_s1000_a2000000_u8000000_n2048_m2048   |  100mb   |       1000      |      2000000       |     8000000     |     2048    |     2048    |    5.177665843    |   10.044514554   |       9.671527444        |  93.9969642417111  |  86.79319479598175   |
|  100mb_s1000_a4000000_u4000000_n1024_m1024   |  100mb   |       1000      |      4000000       |     4000000     |     1024    |     1024    |    5.181418572    |   9.595270619    |       9.645863477        | 85.18617026719532  |  86.16259896711546   |
|  100mb_s1000_a4000000_u4000000_n1024_m2048   |  100mb   |       1000      |      4000000       |     4000000     |     1024    |     2048    |    5.180285309    |   9.613135493    |       9.652346358        | 85.57154518687533  |  86.32847000203711   |
|  100mb_s1000_a4000000_u4000000_n2048_m2048   |  100mb   |       1000      |      4000000       |     4000000     |     2048    |     2048    |    5.178821143    |   9.638524231    |       9.688782385        | 86.11425196693648  |  87.08470745501471   |
|  100mb_s1000_a4000000_u8000000_n1024_m1024   |  100mb   |       1000      |      4000000       |     8000000     |     1024    |     1024    |    5.177432101    |   9.641316848    |       9.714120032        | 86.21812241898488  |  87.62428637400687   |
|  100mb_s1000_a4000000_u8000000_n1024_m2048   |  100mb   |       1000      |      4000000       |     8000000     |     1024    |     2048    |     5.17748236    |   9.617640392    |       9.680656307        | 85.75901805679933  |  86.97613306788745   |
|  100mb_s1000_a4000000_u8000000_n2048_m2048   |  100mb   |       1000      |      4000000       |     8000000     |     2048    |     2048    |    5.181706041    |   9.639979327    |       9.694853131        | 86.03871486966122  |  87.09770593487822   |
| 200mb_s1000000_a1000000_u1000000_n1024_m1024 |  200mb   |     1000000     |      1000000       |     1000000     |     1024    |     1024    |    5.194080952    |   11.34846761    |       9.738326832        | 118.48846244166123 |  87.48893061149194   |
| 200mb_s1000000_a1000000_u1000000_n1024_m2048 |  200mb   |     1000000     |      1000000       |     1000000     |     1024    |     2048    |    5.197109222    |   11.329642748   |       9.695873005        | 117.99893487018194 |  86.56281003208825   |
| 200mb_s1000000_a1000000_u1000000_n2048_m2048 |  200mb   |     1000000     |      1000000       |     1000000     |     2048    |     2048    |     5.1949515     |   12.025993352   |       9.748582429        | 131.49385229101753 |  87.65492669180838   |
| 200mb_s1000000_a1000000_u2000000_n1024_m1024 |  200mb   |     1000000     |      1000000       |     2000000     |     1024    |     1024    |     5.19770216    |   11.292234636   |       9.771652403        | 117.25436141573758 |  87.99946788409281   |
| 200mb_s1000000_a1000000_u2000000_n1024_m2048 |  200mb   |     1000000     |      1000000       |     2000000     |     1024    |     2048    |    5.197447387    |   11.356458583   |       9.687939062        | 118.5006934635854  |  86.39802080982564   |
| 200mb_s1000000_a1000000_u2000000_n2048_m2048 |  200mb   |     1000000     |      1000000       |     2000000     |     2048    |     2048    |    5.197463374    |   12.066192704   |        9.73171606        | 132.1554157430028  |   87.2397236829475   |
| 200mb_s1000000_a1000000_u4000000_n1024_m1024 |  200mb   |     1000000     |      1000000       |     4000000     |     1024    |     1024    |    5.196732264    |   11.330046333   |       9.737843152        | 118.02251409964113 |  87.38396856536612   |
| 200mb_s1000000_a1000000_u4000000_n1024_m2048 |  200mb   |     1000000     |      1000000       |     4000000     |     1024    |     2048    |    5.195090116    |   11.354310013   |       9.710470899        | 118.55848040115112 |  86.91631294505152   |
| 200mb_s1000000_a1000000_u4000000_n2048_m2048 |  200mb   |     1000000     |      1000000       |     4000000     |     2048    |     2048    |    5.195720595    |   12.045446255   |       9.710127829        | 131.8339878897972  |  86.88702849695864   |
| 200mb_s1000000_a1000000_u8000000_n1024_m1024 |  200mb   |     1000000     |      1000000       |     8000000     |     1024    |     1024    |    5.192868345    |   11.320507492   |        9.70750552        | 118.00104951437973 |  86.93918033464027   |
| 200mb_s1000000_a1000000_u8000000_n1024_m2048 |  200mb   |     1000000     |      1000000       |     8000000     |     1024    |     2048    |    5.195224365    |   11.301558051   |       9.734006635        | 117.53743932866702 |  87.36450923231688   |
| 200mb_s1000000_a1000000_u8000000_n2048_m2048 |  200mb   |     1000000     |      1000000       |     8000000     |     2048    |     2048    |    5.195112733    |   12.067914702   |       9.712144911        | 132.2936059759225  |   86.9477220254962   |
| 200mb_s1000000_a2000000_u2000000_n1024_m1024 |  200mb   |     1000000     |      2000000       |     2000000     |     1024    |     1024    |    5.196495538    |   10.94765556    |       9.723750314        | 110.67381815194392 |  87.12130594347487   |
| 200mb_s1000000_a2000000_u2000000_n1024_m2048 |  200mb   |     1000000     |      2000000       |     2000000     |     1024    |     2048    |    5.196420528    |   10.969277888   |       9.734713911        | 111.09295964200687 |  87.33499066417359   |
| 200mb_s1000000_a2000000_u2000000_n2048_m2048 |  200mb   |     1000000     |      2000000       |     2000000     |     2048    |     2048    |    5.195579583    |   11.381767589   |       9.696803714        |  119.066369924181  |  86.63564976904713   |
