+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
|    100mb_s10000_a1000000_u1000000_n16_m64    |  100mb   |      10000      |      1000000       |     1000000     |      16     |      64     |      5.176592997       |      9.471500175      | 82.96783580414828  |
|  100mb_s10000_a1000000_u1000000_n2048_m2048  |  100mb   |      10000      |      1000000       |     1000000     |     2048    |     2048    |      5.176721471       |      10.644588809     | 105.62413621499631 |
|  100mb_s10000_a1000000_u1000000_n512_m1024   |  100mb   |      10000      |      1000000       |     1000000     |     512     |     1024    |      5.177950244       |      9.748420249      | 88.26793981452559  |
|  100mb_s10000_a1000000_u1000000_n512_m2048   |  100mb   |      10000      |      1000000       |     1000000     |     512     |     2048    |      5.176850607       |      9.744217778      | 88.22675247425774  |
|   100mb_s10000_a1000000_u1000000_n512_m512   |  100mb   |      10000      |      1000000       |     1000000     |     512     |     512     |      5.178188414       |      9.746429296      | 88.22083162615489  |
|   100mb_s10000_a1000000_u1000000_n64_m1024   |  100mb   |      10000      |      1000000       |     1000000     |      64     |     1024    |      5.179041337       |      9.504456942      |  83.5176883817948  |
|   100mb_s10000_a1000000_u1000000_n64_m2048   |  100mb   |      10000      |      1000000       |     1000000     |      64     |     2048    |      5.176911003       |      9.530766265      | 84.10141220270077  |
|   100mb_s10000_a1000000_u1000000_n64_m512    |  100mb   |      10000      |      1000000       |     1000000     |      64     |     512     |      5.179280278       |       9.47194768      | 82.88154283200194  |
|    100mb_s10000_a1000000_u1000000_n64_m64    |  100mb   |      10000      |      1000000       |     1000000     |      64     |      64     |      5.176749093       |      9.499127956      | 83.49600850550631  |
|  100mb_s10000_a100000_u1000000_n1024_m1024   |  100mb   |      10000      |       100000       |     1000000     |     1024    |     1024    |       5.17849427       |      14.717481891     | 184.20388482924787 |
|  100mb_s10000_a100000_u1000000_n1024_m2048   |  100mb   |      10000      |       100000       |     1000000     |     1024    |     2048    |      5.176842419       |      14.766864946     | 185.24849224312462 |
|   100mb_s10000_a100000_u1000000_n16_m1024    |  100mb   |      10000      |       100000       |     1000000     |      16     |     1024    |      5.175504825       |      9.606067145      |  85.6063798568674  |
|    100mb_s10000_a100000_u1000000_n16_m16     |  100mb   |      10000      |       100000       |     1000000     |      16     |      16     |      5.174112202       |      9.550755317      | 84.58732520930361  |
|   100mb_s10000_a100000_u1000000_n16_m2048    |  100mb   |      10000      |       100000       |     1000000     |      16     |     2048    |      5.178529246       |      9.632214204      | 86.00289283757769  |
|    100mb_s10000_a100000_u1000000_n16_m512    |  100mb   |      10000      |       100000       |     1000000     |      16     |     512     |      5.175881266       |      9.618857472      | 85.83999473066739  |
|    100mb_s10000_a100000_u1000000_n16_m64     |  100mb   |      10000      |       100000       |     1000000     |      16     |      64     |      5.175536513       |      9.596603527      | 85.42239056559815  |
|  100mb_s10000_a100000_u1000000_n2048_m2048   |  100mb   |      10000      |       100000       |     1000000     |     2048    |     2048    |      5.175343521       |      20.558189244     | 297.2333268425758  |
|   100mb_s10000_a100000_u1000000_n512_m1024   |  100mb   |      10000      |       100000       |     1000000     |     512     |     1024    |       5.17664908       |      12.114496386     | 134.02197442365556 |
|   100mb_s10000_a100000_u1000000_n512_m2048   |  100mb   |      10000      |       100000       |     1000000     |     512     |     2048    |      5.177288337       |      13.982369246     | 170.07128704950858 |
|   100mb_s10000_a100000_u1000000_n512_m512    |  100mb   |      10000      |       100000       |     1000000     |     512     |     512     |      5.175914254       |      12.097411836     | 133.7251206712127  |
|   100mb_s10000_a100000_u1000000_n64_m1024    |  100mb   |      10000      |       100000       |     1000000     |      64     |     1024    |      5.178698655       |      9.882983385      | 90.83912858026684  |
|   100mb_s10000_a100000_u1000000_n64_m2048    |  100mb   |      10000      |       100000       |     1000000     |      64     |     2048    |      5.177948158       |      9.886485566      | 90.93442545818549  |
|    100mb_s10000_a100000_u1000000_n64_m512    |  100mb   |      10000      |       100000       |     1000000     |      64     |     512     |      5.174517811       |      9.927199559      | 91.84781890008648  |
|    100mb_s10000_a100000_u1000000_n64_m64     |  100mb   |      10000      |       100000       |     1000000     |      64     |      64     |      5.175292464       |      9.790653346      | 89.18067749996823  |
|   100mb_s10000_a100000_u100000_n1024_m1024   |  100mb   |      10000      |       100000       |      100000     |     1024    |     1024    |      5.179261267       |      14.835117632     | 186.4330812296131  |
|   100mb_s10000_a100000_u100000_n1024_m2048   |  100mb   |      10000      |       100000       |      100000     |     1024    |     2048    |      5.175555322       |      14.631211004     | 182.6983790861312  |
|    100mb_s10000_a100000_u100000_n16_m1024    |  100mb   |      10000      |       100000       |      100000     |      16     |     1024    |      5.176877742       |      9.606777899      |  85.570886116553   |
|     100mb_s10000_a100000_u100000_n16_m16     |  100mb   |      10000      |       100000       |      100000     |      16     |      16     |       5.17531783       |      9.552098956      | 84.57028669097217  |
|    100mb_s10000_a100000_u100000_n16_m2048    |  100mb   |      10000      |       100000       |      100000     |      16     |     2048    |      5.175348395       |      9.632735054      | 86.12727721492843  |
|    100mb_s10000_a100000_u100000_n16_m512     |  100mb   |      10000      |       100000       |      100000     |      16     |     512     |      5.179097112       |      9.628862114      | 85.91777496679619  |
|     100mb_s10000_a100000_u100000_n16_m64     |  100mb   |      10000      |       100000       |      100000     |      16     |      64     |      5.174861064       |      9.604379709      | 85.59686125323964  |
|   100mb_s10000_a100000_u100000_n2048_m2048   |  100mb   |      10000      |       100000       |      100000     |     2048    |     2048    |       5.17468636       |      20.176747959     | 289.9124807827001  |
|   100mb_s10000_a100000_u100000_n512_m1024    |  100mb   |      10000      |       100000       |      100000     |     512     |     1024    |      5.176437812       |      12.104797648     | 133.8441624844541  |
|   100mb_s10000_a100000_u100000_n512_m2048    |  100mb   |      10000      |       100000       |      100000     |     512     |     2048    |      5.176899548       |      14.183324579     | 173.97333959241044 |
